model,config_id,hidden_dim,layers,dropout,learning_rate,weight_decay,attention_heads,rgcn_num_bases,decoder_hidden_dim,runtime_extension_allowed
TCMRGAT,CFG01,64,2,0.2,0.001,1e-05,4,N/A,64,False
TCMRGAT,CFG02,64,2,0.4,0.0005,0.0001,4,N/A,64,False
TCMRGAT,CFG03,128,2,0.2,0.0005,1e-05,4,N/A,128,False
TCMRGAT,CFG04,128,2,0.4,0.001,0.0001,4,N/A,128,False
HeteroSAGE,CFG01,64,2,0.2,0.001,1e-05,N/A,N/A,64,False
HeteroSAGE,CFG02,64,2,0.4,0.0005,0.0001,N/A,N/A,64,False
HeteroSAGE,CFG03,128,2,0.2,0.0005,1e-05,N/A,N/A,128,False
HeteroSAGE,CFG04,128,2,0.4,0.001,0.0001,N/A,N/A,128,False
GraphSAGE,CFG01,64,2,0.2,0.001,1e-05,N/A,N/A,64,False
GraphSAGE,CFG02,64,2,0.4,0.0005,0.0001,N/A,N/A,64,False
GraphSAGE,CFG03,128,2,0.2,0.0005,1e-05,N/A,N/A,128,False
GraphSAGE,CFG04,128,2,0.4,0.001,0.0001,N/A,N/A,128,False
RGCN,CFG01,64,2,0.2,0.001,1e-05,N/A,4,64,False
RGCN,CFG02,64,2,0.4,0.0005,0.0001,N/A,4,64,False
RGCN,CFG03,128,2,0.2,0.0005,1e-05,N/A,4,128,False
RGCN,CFG04,128,2,0.4,0.001,0.0001,N/A,4,128,False
GCN,CFG01,64,2,0.2,0.001,1e-05,N/A,N/A,64,False
GCN,CFG02,64,2,0.4,0.0005,0.0001,N/A,N/A,64,False
GCN,CFG03,128,2,0.2,0.0005,1e-05,N/A,N/A,128,False
GCN,CFG04,128,2,0.4,0.001,0.0001,N/A,N/A,128,False
