model,config_id,trainable_parameter_count,encoder_parameters,decoder_parameters,feature_parameters,estimated_activation_memory_bytes,formal_comparability_status
TCMRGAT,CFG01,291281,60304,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
TCMRGAT,CFG02,291281,60304,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
TCMRGAT,CFG03,730001,235280,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
TCMRGAT,CFG04,730001,235280,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
HeteroSAGE,CFG01,346817,115840,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
HeteroSAGE,CFG02,346817,115840,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
HeteroSAGE,CFG03,955777,461056,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
HeteroSAGE,CFG04,955777,461056,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
GraphSAGE,CFG01,247745,16768,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
GraphSAGE,CFG02,247745,16768,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
GraphSAGE,CFG03,561025,66304,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
GraphSAGE,CFG04,561025,66304,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
RGCN,CFG01,272377,41400,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
RGCN,CFG02,272377,41400,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
RGCN,CFG03,659385,164664,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
RGCN,CFG04,659385,164664,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
GCN,CFG01,239553,8576,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
GCN,CFG02,239553,8576,16513,214464,3979264,COMPARABLE_SHARED_PROTOCOL
GCN,CFG03,528257,33536,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
GCN,CFG04,528257,33536,65793,428928,7958528,COMPARABLE_SHARED_PROTOCOL
